"pm10","pm2.5"
2,2.6
2,1.7
3,1.74613893502923
5,1
2,2.9
0,1.3
0,1.3
0.496337657257021,2.2
0.777128113246672,2.2
1,1.8
2,2.7
0,2.4
1,0.3
3,0.2
2,0.755270723750684
2,0.897617349130504
5,1.03996397451032
6,0.7
4,1.9
4,3.6
4,1.8
2,0.3
4,1.4
7,1
5,0
3,0.702661855794884
2,0.888275302713072
1,1.07388874963126
0,1.4
0,1.7
2,0.3
4,1.15705309648901
4,1.40814031036776
3,1.6592275242465
4,1.91031473812525
9,1.7
6,3.4
1,3.7
7,2.5
8,2.7
5,1.5
1,1.7
1,3.6
4,3.9
3,4.8
0,2.8
3,2
11,2.5
8,3.2
25,5.1
9,5.1
6,1.8
6,2.26422391571947
4,1.85441732158867
2,1.44461072745787
3,0.5
4,1.2
4,1.2
8,1.2
9,2.6
5,3.2
7,2.1
11,4.1
9,7
8,6.8
6,6.1
6,5.9
8,5.1
8,6.3
10,7
15,6.3
22,10.5
24,9
20,9.7
11,6.1
9,3.5
5,1.3
5,1.2
3,1
3,0.7
6,3.5
7,3.4
8,2
12,1.7
30,4.3
21,11.5
11,8.3
18,7
17,10.1
17,9.4
13,8.5
10,8
11,4
12,2.5
16,6.9
23,10.3
31,13.7
14,10.5
15,8.3
15.691469275016,11.9600709410113
15.810996591228,13.6308850416461
20,25.3
2,0.5
3,1.4
4,3.46924481072424
2,3.23120730501866
5,2.4
7,3.4
13,4.5
9,3.6
5,1.8
4,2.2
7,4.5
6,4.1
6,3.4
4,4.1
6,2.5
5,2.7
6,1.5
5,1.31314671115759
4,0
10,1.7
9,1.1
45,2.9
22,2.7
23,2.20944637467215
12,2.00537557636873
9,1.8013047780653
7,1.59723397976188
5,0.7
2,1.92290326470615
4,2.45264334795384
9,2.6
7,3.9
11,5.3
13,5.6
16,4.9
18,7.7
25,7.1
18,4.7
15,5.8
9,6.8
12,5.9
21,6.3
16,9.8
10,8.5
7,5.4
5,4.4
3,2.5
2,0.6
2,0.5
0,1.31378272688211
0,1.54856652962442
2,0.2
5,3.1
13,5.1
18,10.3
31,12.1
39,22.9
27,17.7
29,19.5
23,13
25,18.2
21,13
16,12.4
15,7.5
8,6.6
12,4.7
7,2.3
23,11.4
19,9.5
7,5.5
5,2.6
2,1
0,0.8
0,1.05326068096505
2,0.5
4,0.8
7,2
8,2
10,0.6
24,5
19,5.4
24,11.7
29,18.2
17,11.4
13,9.1
9,6
9,6.1
11,6.1
19,8
28,9.9
59,11.6
83,12.1
16,7.9
10,3.6
7,3
6,2.7
5,3.9
6,2.1
6,3.67957963823027
7,4.31259575534089
14,4.94561187245152
76,5.2
28,5.8
28,10
39,10.4
24,7.8
19,5.2
25,3.9
16,3.6
25,3.9
47,5.5
28,4.2
38,3.4
24,9.3
32,10.8
55,11.1
27,11.5
16,5.9
13,3
9,3.48944194946754
13,1.2
11,3.6
9,4.3
7,3.6
17,3.6
30,4.6
68,9.8
30,7.9
35,10.3
38,16.8
41,17.5
27,16.5
26,10.9
28,15.4
33,12.7
31,13.3
35,14.3
33,14.3
38,13.6
45,13.6
32,13.8
23,11.7
21,13.7
18,10.5
20,10
25,10.4
20,8.5
25,9.6
32,13.4
36,19.1
34,15.4
28,13.4
18,8.7
23,9.2
29,18.5
28,15.4
18,9.4
12,9.9
10,8.1
17,9.6
16,10
31,14.6
39,16.5
47,18.5
25,13.2
23,11.7
20,8.1
24,6.8
10,4.4
12,5.3
14,4.6
13,2.9
18,3.4
12,5.8
15,6.5
17,5.6
12,4.9
22,8.2
23,7.8
24,15.5
17,11.3
14,7.7
15,7.1
8,4.2
10,4.1
7,6.3
5,4.9
14,5.1
7,5.8
2,3.9
2,1.6
5,1.2
5,2.9
4,2.7
1,1.5
1,0.1
2,1.7
5,2.2
5,1.3
3,3.4
0,3.7
7,4.8
8,5.6
6,3.4
47,1.3
3,2.83204704698179
2,3.15535260811157
5,2.8
3,6
1,4.9
1,1.8
2,0.5
1,3.3
3,2.5
4,1.3
1,0.8
9,0
7,1.4
3,1.4
3,0.5
9,1.4
10,2.2
16,4.3
14,5.5
13,5.4
17,7.9
29,8.9
9,8.9
13,10.1
12,11.1
12,8.3
19,7.3
12,7.3
15,9.2
17,11.1
18,10
18,9
13,8.3
11,6.2
9,4.9
10,3.5
11,3.2
13,6.5
9,5.6
11,6.8
17,9.4
20,10.4
20,14.4
44,12.7
17,8.7
4,6.9
3,5.2
2,3.2
2,2.7
2,2.5
0,2.5
1.5380788774856,3.2
2.37034642381263,1.6
3,0.8
5,2.7
4,2
4,9.19584688592532
17.5346374164876,13.6722111936142
38,32.2
8,1.2
5,1.2
6,3.3
11,4.6
8,7
6,4.5
9,2.7
10,3.6
12,6
12,5.1
17,5.3
18,3.9
2,1.1
3,2.13866546470497
3,2.0210473558101
5,1.9
4,1.3
3,1.3
9,3.8
10,5.2
11,4.8
21,8.2
29.6302550650477,4.16840567660399
45,1
28,2.2
19,2.4
15,1.8
14,2.9
10,3.7
6,2.4
5,1.1
3,0.3
6,1.5
4,2.5
3,1.5
3,1.2
2,1.03187485309333
3,0.809780705725839
2,0.5
3,0.1
3,0.4
4,0.5
3,2.5
16,6.1
14,4.6
7,2.2
6,3.8
5,2.5
4,2.36195857243558
1,2.03448096780423
0,1.70700336317287
1,1.37952575854152
2,0.6
8,0.8
19,2.1
20,2.3
15,0.6
6,1.7
17,8.5
18,9
11,7.3
12,6.3
12,4.6
8,5.1
9,3.1
12,2.7
24,6.8
43,13.5
17,10.9
14,7.5
15,4.8
10,2.5
18,3.4
12,1.5
14,2.03915509483241
9,0.3
11,4.4
14,4.6
19,3.7
14,3.9
10,2
13,2.1
13,6.3
8,6.6
8,5.9
7,3.2
8,2.3
7,1
8,2.2
10,3.4
11,2.5
27,4.4
12,4.8
10,2.8
6,2.5
10,0.3
7,1.33725551678435
6,1.3961404577082
6,1.1
4,1.5
6,2.2
7,5.1
9,5.4
7,3.9
6,3.9
5,3.6
6,3.2
3,2
0,2.5
1,3.2
3,2.5
4,2.2
2,2.2
0,1
3,0.5
6,0.810142524024134
4,0.778010133912469
1,0.8
0,0.656449320669174
0,0
0,1.3
0.488374067254149,1.35354478212164
0,1.62922558695047
4,1.6
5,2.9
4,2.5
6,2
8,5.1
6,6.1
6,5.6
6,5.8
13,7.3
9,5.1
5,2.4
6,3.9
7,4.1
6,2.7
4,3.2
3,2
2,1.5
4,2.5
4,2.7
2,2.9
8,1.9
10,2.8
5,2.5
3,4.6
11,5.4
15,2.3
21,0.1
21,3.9
13,3.4
13,3.2
20,5.4
22,4.6
17,4.9
5,4.8
9,2.7
7,2.2
10,3.2
12,3
16,1.7
23,5.1
24,9.7
14,6.8
10,3.4
7,0.8
7,1.87155192020264
4,1.61552874421403
4,1.35950556822541
4,0.1
4,1.90978670069269
6,2.71609100914858
9,3.2
19,5.4
17,4.9
6,4.6
22,8.9
17,7.5
7,5.3
13,4.8
9,5.6
9,4.3
16,4.3
9,4.8
22,4.6
21,5.8
12,4.4
15,4.1
10,3.6
7,2.8
3,0.6
6,1.98786437735452
7,2.7
4,1.8
6,2.08183712638651
5,2.12398404986821
6,2.16613097334992
17,1.8
25,2.9
23,3.2
15,2.7
9,2.2
11,4.4
14,5.8
10,4.1
12,2.9
14,3.6
13,7.3
47,8
31,7.8
37,8.7
23,7.3
21,6.8
9,3.4
5,0.3
4,0.8
5,0.3
5,0.3
3,0.6
3,1.3
15,0.8
44,3.1
45,8.6
27,9.2
32,6.5
25,7.5
29,9.5
18,5.8
11,4.6
11,5.3
19,5.3
20,4.4
16,6.8
38,6.5
40,9.9
19,6.3
19,2.8
35,2.5
27,2
21,1.3
17,3.9
8,4.6
9,2.7
8,3.2
4,1.7
6,2.0930748637438
6,1.7
5,2.4
2,1.5
0,2.2
2,5.5
8,4.5
6,4.3
6,5.1
8,4.1
5,3.6
7,3.6
7,4.8
6,3.9
6,2.5
6,2.7
7,2.5
4,0.3
3,1.31549260579482
4,1.7
5,1.2
4,0
1,1.5
2,3.6
2,3.8
2,3.6
3,1.5
4,1.97194452419467
3,1
2,2.2
1,3.6
2,5.1
5,3.9
1,4.3
3,2.2
3,1.5
4,2.7
4,4.8
5,4.6
4,2.9
4,4.1
0,3.6
0,2.9
2,0.9
3,0.3
2,2.9
0,0.9
8,1.2
7,2
8,1.8
4,1.8
3,1.7
3,3.6
0,2.9
0,1.2
0,1.3
5,0.3
3,0.650221754874006
2.95912280064899,0.3
2,0.8
5,1.12239409817749
6,0.8
5,3.1
4,2.9
4,1.7
6,2.8
10,1
8,0.8
7,3.6
7,4.6
6,5
9,3.9
11,4.8
6,5.1
4,3.9
5,0.8
2,2
2,1.5
4,1.02539686920056
2,0.3
4.36555569068084,0.500113048969973
7,0
5,0.716117202421532
2,1.03459692517505
0,0.5
2,3.9
3,3.4
0,0.2
0,0.899797058657718
1,0.2
2,0.888082971969175
3,1.12240883928762
2,2
2,0.3
2,0.6
5,2.4
5,1.5
3,3.4
1,3.7
0,0.3
0,0.5
4,2.9
3,2.6
3,1
4,0.7
5,1.4
4,2.2
5,1.2
7,1.2
7,1.5
12,5.6
8,4.7
5,2.4
3,1.8
3,1.1
2,0
4,0.720044394479989
5,1.1
4,0.1
6,0.9
7,1
5,1
6,4.1
8,3.4
7,2
7,3.6
8,3.1
6,3.4
4,2.2
7,2.9
7,4.1
8,2.9
6,2.2
5,3.4
5,2.9
4,2.2
5,2.4
7,1.8
6,2.2
7,4.1
6,3.86832164574568
7,4.18119838162953
5,4.8
6,4.9
7,3.2
7,4.3
5,6
10,3.9
10,5.3
6,5.8
6,3.8
6,4.1
8,5.3
7,5.3
8,4.1
5,2.6
5,3.3
5,4.5
3,3.6
4,0.7
6,1.2
11,3.9
9,3.1
7,0.2
7,1
7,3.1
10,3.4
7,3.4
7,2.9
10,2.2
9,4.1
6,4.4
4,2.5
3,2.7
8,2.9
7,1.5
9,3.2
8,4.1
10,3.9
7,4.1
10,7
8,4.9
7,2.7
6,2.9
8,3.4
6,3.1
7,1.5
5,3.8
4,2.2
6,0.2
10,1.2
12,4
13,7.2
11,6.8
15,10.2
20,12.3
28,16.7
14,10.7
16,13.9
15,14.2
18,12.3
15,10.6
20,10.1
29,12
17,8.5
28,12.3
17,12.8
14,7.8
7,3.4
3,5.5
10,4.5
17,4.8
20,10.3
26,10.1
27,10.8
20,11.6
24,10.6
23,13.3
19,9.3
24,7.8
18,12.3
14,8.5
14,9.4
18,10.4
17,9.9
12,7.1
8,3.7
6,3.6
6,6.7
7,5.3
6,7.7
6,7.1
4,2.7
5,1.5
4,1.7
1,3.8
2,3.6
2,1.5
6,4.1
8,5.1
6,5.3
3,2.7
8,1.2
8,2
10,2.9
9,3.6
7,2.7
6,5.1
4,4.4
8,1.5
8,1.2
