"","co1","so2","ozone","temp","rh"
"177",0.24,0.2,0.014,20,46
"178",0.23,0.4,0.019,23,40
"179",0.193,0.6,0.024,26,34
"180",0.173,0.5,0.027,28,32
"181",0.169,0.5,0.028,31,31
"182",0.166,0.5,0.03,34,31
"183",0.167,0.7,0.03,36,30
"184",0.175,1.3,0.029,38,30
"185",0.199,1.2,0.026,39,31
"186",0.219,0.8,0.022,38,35
"187",0.215,0.6,0.019,37,39
"188",0.211,0.5,0.018,36,42
"189",0.213,0.3,0.017,35,44
"190",0.241,0.3,0.009,34,47
"191",0.267,0.3,0.007,34,49
"192",0.247,0.3,0.004,33,51
"193",0.252,0.4,0.003,32,53
"194",0.24,0.5,0.002,33,52
"195",0.25,0.4,0.001,33,52
"196",0.324,0.6,0,32,58
"197",0.326,0.6,0,32,57
"198",0.314,0.7,0,33,54
"199",0.309,0.4,0.002,35,51
"200",0.281,0.3,0.006,35,49
"201",0.246,0.4,0.014,35,45
"202",0.208,0.3,0.02,34,46
"203",0.191,0.2,0.021,34,47
"204",0.187,0.2,0.024,34,46
"205",0.184,0.2,0.029,36,36
"206",0.181,0.2,0.03,37,30
"207",0.188,0.3,0.032,38,28
"208",0.193,0.2,0.031,39,29
"209",0.21,0.1,0.03,38,30
"210",0.204,0.1,0.03,38,31
"211",0.186,0.1,0.031,37,30
"212",0.196,0.1,0.031,37,31
"213",0.202,0.1,0.029,36,31
"214",0.199,0.1,0.029,36,30
"215",0.187,0,0.031,35,28
"216",0.168,0,0.032,34,29
"217",0.165,0,0.033,33,30
"218",0.156,0,0.033,33,29
"219",0.153,0,0.034,32,29
"220",0.168,0.1,0.033,32,29
"221",0.167,0.2,0.033,32,28
"222",0.159,0.3,0.031,32,31
"223",0.166,0.5,0.026,32,33
"224",0.175,0.7,0.025,32,34
"225",0.19,0.6,0.023,33,36
"226",0.189,0.5,0.024,33,36
"227",0.203,0.6,0.021,34,37
"228",0.191,0.5,0.022,35,38
"229",0.195,0.5,0.024,37,36
"230",0.201,0.5,0.025,38,40
"231",0.185,0.3,0.024,37,53
"232",0.188,0.5,0.024,37,58
"233",0.196,0.3,0.022,36,63
"234",0.211,0.1,0.016,35,80
"235",0.202,0,0.018,34,87
"236",0.226,-5.42101086242752e-20,0.017,35,82
"237",0.224,0,0.016,35,80
"238",0.215,0,0.014,35,84
"239",0.204,0,0.013,35,87
"240",0.198,0,0.011,34,91
"241",0.199,0,0.011,34,92
"242",0.18,0,0.012,35,93
"243",0.161,0,0.019,34,93
"244",0.159,0,0.021,34,93
"245",0.156,0,0.022,34,93
"246",0.16,0,0.021,34,93
"247",0.158,0,0.022,34,92
"248",0.179,0,0.018,34,93
"249",0.206,0,0.014,35,93
"250",0.213,0,0.015,36,93
"251",0.215,0,0.015,36,92
"252",0.217,0.1,0.015,37,90
"253",0.2125,0.1,0.017,38,88
"254",0.208,0.1,0.015,39,88
"255",0.204,0,0.016,40,88
"256",0.209,0,0.016,41,88
"257",0.235,0.1,0.013,42,87
"258",0.234,0,0.012,42,87
"259",0.241,0,0.011,42,88
"260",0.233,0,0.01,42,91
"261",0.223,0,0.007,42,92
"262",0.25,0,0.004,42,92
"263",0.252,0,0.002,42,93
"264",0.267,0.1,0,42,93
"265",0.357,0.1,0.001,43,93
"266",0.293,0.1,0.003,43,92
"267",0.246,0,0.008,43,90
"268",0.233,0,0.011,43,89
"269",0.211,0,0.013,42,88
